阿斗当皇帝	软弱无能
脖子上割瘿袋（ying dai生长在脖子上的囊状瘤。民间有除瘿会危及生命的说法）	杀人的勾当；耍人命
脖子上挂镰刀	好险
脖子上磨刀	危险到顶
脖子上围裹脚布	臭了一圈儿
脖子上抓笊篱（zhao li捞取东西的用具。用金属丝、竹蔑戍柳条等编成。有长柄）	劳（捞）心
脖子送到铡刀下	迭死；自己找死
菠菜煮豆腐	一清（青）二臼
博物馆的陈列品	老古董
薄冰上迈步	胆战心惊；战战兢兢
薄刀切豆腐	两面光
薄情郎休妻	另有新欢
跛脚穿花鞋	边走边瞧
跛脚佬打猎	坐着喊
跛脚马碰到瞎眼骡	难兄难弟
跛脚马上阵	没有好下场
跛脚青蛙碰着瞎田鸡	难兄碰到难弟
跛子踩高跷	早晚有他的好看
跛子唱戏文	下不了台
跛子赶老婆	越赶越远
跛子划船	以歪就歪
跛子爬楼梯	步步难
跛子爬山	一步三分险；步步有险
跛子骑瞎马	各有所长
跛子走路	左右摇摆
簸箕比天大，叫花子（乞丐）比神仙	无法沾边
簸箕里的蚂蚁	条条是道
补锅匠的脊梁	背黑锅
补锅匠揽瓷器活	充内行
补过的碗盏	留下痕迹
补了又补的破轮胎	到处泄气
不挨皮鞭挨砖头	吃硬不吃软
不拨灯不添油	省心（芯）
不长毛的家雀	飞不了
不吃桑叶的老蚕	尽是私（丝）
不吃羊肉羊臆臭	自背臭名
不出鸡的鸡子儿（鸡蛋）	坏蛋
不搭棚的葡萄	没有架子；不摆架子
不大不小的老鼠	最刁
不倒翁沏茶	没水平
不倒翁骑兔子	没个老实劲儿
不倒翁坐车	左右摇摆；东倒西歪
不到黄河心不死	顽固不化
不犯王法坐大牢	冤枉，
不放酱油浇猪爪	白提（蹄）
不放酱油烧猪蹄	白提（蹄）
不共戴天的敌人	有你无我
不会喝酒伴醉客	舍命陪君子
不见棺材不落泪	死心眼儿
不叫的黄蜂	暗伤人
不叫喊的狗	暗里伤人
不敬东家（受人雇用或聘请的人称他的主人）散伙计	认错了主
不开花的玫瑰	净刺儿
不碰南墙不回头	顽固到底
不识字的人看布告	一纸都是墨
不是鱼死，就是网破	有你无我
不熟的葡萄	酸得很
不听曲子听评书	说的比唱的好听
不栽果树吃桃子	坐享其成
不炸嘴的石榴	满肚子花花点子
布袋里买猫	不知底细
布袋里塞稻秆	草包
布袋里装牛角	内中有弯
布袋装水	一场空
布机上的棉线	干头万绪
布机上的梭子	直来直去；去了又来
布娃娃的眼睛	有眼无珠
擦胭粉进棺材	死要面子（比喻非常好脸。）
才出壳的鸡子	嫩的很
才出窝的麻雀	翅膀不硬
才过门的媳妇见公婆	唯唯诺诺
才揭盖的蒸笼	热气腾腾
才输了当头炮	慌什么哩
才脱了阎王，又撞着小鬼	祸不单行
才学理发就碰上大胡子	难题（剃）
才捉到的鲤鱼	活蹦乱跳
才子佳人结鸳鸯	好事成双
才子配佳人	恰好一对
财神爷打官司	有钱就有理
财神爷戴乌纱帽	钱也有，权也有
财神爷发慈悲	有的是钱
财神爷翻脸	不认账
财神爷放帐	无利可图（比喻谋取不到好处。）
财神爷叫门	好事临头；有钱花了;天大的好事
财神爷敲门	福从天降；天大的好事
财神爷休妻（息）	不为穷人着想（比喻不可怜穷人。）
财神爷要饭	装穷
财神爷招手	来福了（比喻来了福气。）
财神爷着烂衫	人不可貌相
财主杀妻	为富不仁
裁布不用剪子	胡扯
裁缝不带尺	存心不良（量）
裁缝打狗	有尺寸（比喻办事有分寸。）
裁缝打架	真（针）干
裁缝的尺子	量人不量己；量体裁衣
裁缝的家当	真正（针挣）的
裁缝丢了剪子	只有吃（尺）了
裁缝干活	忘不了吃（尺）
裁缝撂（liao抛弃；扔）剪刀	不睬（裁）
裁缝铺扯筋（有纠纷闹矛盾）	争长论短
裁缝铺的衣服	一套一套的
裁缝师傅戴戒指	顶真（针）
裁缝师傅的手艺	量体裁衣
裁缝师傅买田	千真（针）万真（针）
裁缝师傅手中忙	穿针引线
裁缝绣娘	各干一行
裁缝智能了剪子	只有尺（吃）了
裁缝做嫁衣	替别人欢喜
裁缝做衣不用尺	自有分寸
彩虹和白云谈情	一吹就散
踩凳子够月亮	差远了
踩高跷上高墙	胆战心惊
踩虎尾，踏春冰	冒险
踩梯子摘星星	差天远
踩着鼻子上脸	欺人太甚
踩着脖子敲脑壳	太欺负人了
踩着地图走路	一步十万八千里
踩着高跷过独木桥	艺高胆大
踩着高跷演戏	半截不是人
踩着肩膀撤尿	成心糟踏人
踩着肩头往头上拉屎	硬欺负人（比喻欺人太甚）
踩着麻绳当蛇	大惊小怪
踩着石头过河	脚踏实地
踩着西瓜打球	能推就推，能滑就滑
踩着银桥上金桥	越走越亮堂
菜刀切藕	片片有眼
菜刀剃头	太悬乎
菜瓜打锣	一锤子买卖
菜馆里的揩台布	酸甜苦辣样样尝过
菜篮子装泥鳅	爬的爬，溜的溜
菜园里长狗尿苔（鬼笔。一种有毒的真菌）	不是好苗头
菜园里的苦瓜	越老心越红
菜园里的辣椒	越高越厉害
菜园里的垄沟	四通八达
菜园里的辘轳（lu lu）	任人摆布
菜籽里的黄豆	数它大
参谋皱眉头	一筹（愁）莫展
参天大树	高不可攀
餐桌上搁痰盂	不是正经家伙
蚕宝宝吃桑叶	胃口越来越大
蚕宝宝牵蜘蛛	私（丝）连私（丝）
蚕宝宝做茧	自己捆自己
蚕豆开花	黑了心
蚕爬扫帚	净找茬（杈）儿
蚕子变蛾子	要飞了
灿烂的朝霞	红红火火
苍蝇不咬人	恶心
苍蝇采花	装疯（蜂）
苍蝇吹喇叭	自不量力；不自量
苍蝇的翅膀	扇不起多大风浪
苍蝇的世界观	哪里臭往哪里钻（比喻参与干些肮脏事。）
苍蝇掉进饭碗里	恶心
苍蝇掉在酱缸里	糊里糊涂
苍蝇叮大粪	臭味相投
苍蝇叮鸡蛋	无孔不入
苍蝇叮菩萨	没有人味
苍蝇放屁	吓谁哩（比喻一点威力没有。）
苍蝇飞进花园里	装疯（蜂）
苍蝇飞进牛眼里	找累（泪）吃
苍蝇给牛抓痒痒	无济于事
苍蝇害眼病	早晚要碰壁
苍蝇会蜘蛛	自投罗网
苍蝇见粪堆	盯（叮）住不放
苍蝇进虎门	不够塞牙缝
苍蝇尥蹶子（liao jue zi）	小踢蹬
苍蝇碰上蜘蛛网	脱不了身
苍蝇围着厕所转	臭味相投
苍蝇洗脸	假干净
苍蝇找地方下蛆	见缝就钻
苍蝇找屎克螂做亲	臭味相投
苍蝇撞上瘫蛤蟆	自送一口肉
苍蝇钻到瓶瓶里	处处碰壁
苍蝇钻茅房（厕所）	沾腥惹臭
苍蝇嘴巴狗鼻子	真灵；灵的很
藏民穿皮袄	露一手，留一手
操场上捉迷藏	无处藏身
操练的士兵	步调一致
曹操败走华容道	不出所料
曹操背时遇蒋干，胡豆（蚕豆）背时遇稀饭	倒霉透了
曹操战宛城	大败而逃
曹操吃鸡肋	食之无味，弃之可惜
曹操打徐州	报仇心切
曹操的人马	多多益善
曹操割须	以己律人
曹操杀蔡瑁	操之过急
曹操杀华佗	讳疾忌医
曹操杀吕布	悔之莫及
曹操下江南	来得凶，败得惨
曹操用计	又奸又滑
曹操遇蒋干	误大事
曹操遇庞统	中了连环计
曹操张飞打哑谜	你猜你的，我猜我的
曹操诸葛亮	脾气不一样（比喻人不同，性格也不相同。）
曹操作事	干干净净
曹操做事	疑心重
草把子作灯	粗心
草包竖大汉	能吃不能干
草船借箭	满载而归；巧用天时
草袋换布袋	一代（袋）强似一代（袋）
草地上的蘑菇	单根独苗
草地上捉鸭子	干扑
草堆里蹦出个兔子	你也算个保镖
草房上安兽头	配不上
草驴（母驴）卖了买叫驴（公驴）	胡捣腾
草帽当钹（bo打击乐器）	没有音
草帽当锅盖	乱扣帽子
草帽当锣打	响（想）不起来
草帽烂边	顶好
草帽烂了边	顶好；没言（沿）
草帽破了顶	露头
草帽子端水	一场空
草坪里丢针	没处寻
草人的胸腔	无心
草上的露水	难长久
草上露水瓦上霜	见不得阳光
草绳子拔河	经不住拉
草窝里扒出个状元郎	埋没人才
草鞋脱襻（pan）	甩了
草原上的百灵鸟	嘴巧
草原上的疯骆驼	见人就撵（nian追赶）
草原上的狍子	三五成群
草原上的天气	变化多端
草原上放牧	漫无边际
厕所顶上开窗户	臭气冲天
厕所里吃甘蔗	臭嚼
厕所里吃烧饼	口难开；不好开口
厕所里吃香瓜	不对味儿
厕所里搭棚	臭架子
厕所里的蛆	讨人嫌
厕所里的消息	丑闻
厕所里放芝麻	香臭不分
厕所里挂绣球	配不上
厕所里洒香水	香臭难分
厕所里耍笔杆	丑（臭）闻（文）
厕所里响唢呐	臭吹
厕所里寻灶王	找错了地方
厕所里照镜子	臭美（比喻做事太过分，使人厌恶和憎恨。）
厕所门口挂绣球	臭美
插根筷子当旗杆	竖不起来
茶杯掉在地上	净蹦（崩）词（瓷）
茶杯盖上放鸡蛋	靠不住
茶杯里放块糖	寿命不长
茶馆搬家	另起炉灶
茶馆的火剪	倒霉（煤）
茶馆里的买卖	滴水不漏
茶馆里开除的伙计	哪壶不开提哪壶
茶壶打掉把儿	只剩一张嘴了（比喻说话乖巧能说会道，没有真本领。）
茶壶掉了把儿	只有一张嘴
茶壶里洗澡	扑腾不开
茶壶里下元宵	只进不出（比喻非常吝啬，只许别人给他东西，他的东西从不外给。）
茶壶里煮冻梨	道（倒）出来也是酸货
茶壶里煮挂面	难捞
茶壶里煮馄饨	一肚子话（货）
茶壶里煮饺子	肚里有货倒不出；肚里有货
茶壶里煮元宵	满腹心事（食）
茶壶没肚儿	光剩嘴
茶壶有嘴难说话	热在里头
茶壶有嘴	说不出话
茶壶煮饺子	心中有数
茶壶装饺子	易进难出
茶铺搬家	另起炉灶（比喻放弃原来的，重新做起。）
茶铺里不要的伙计	哪一壶不开单提哪一壶
茶铺里招手	胡来
茶铺子里的水	滚开
茶食店失火	果然（燃）
搽粉进棺材	死要面子
搽粉上吊	死要脸
搽粉照镜子	自我欣赏
搽胭脂坐飞机	美上天了
岔道上分手	各走各的路
岔路上分手	各奔前程
拆城隍庙竖土地庙	因小失大
拆东墙补西墙	顾此失披
拆房逮耗子	得不偿失；大干一场
拆房卖瓦	只顾眼前
拆房子放风筝	只图风流不顾家
拆了东篱补西壁	穷凑合
拆了房子搭鸡棚	不值得
拆了茅房（厕所）盖楼房	底子臭
拆了鞋面做帽沿	顾头不顾脚
拆庙打泥胎	顺手杀一刀
拆庙散和尚	各奔东西
拆散的鸳鸯	难成双；成不了双；孤单得很
拆屋檐卖胖子（ban zi大块的劈柴）	穷思竭想
柴草人救火	自身难保
柴火棍搔痒	是把硬手
柴火上浇汽油	一点就着
柴油机抽水	吞吞吐吐
豺狗吃瘟鸡	弱肉强食
豺狼朝羊堆笑脸	阴险歹毒
豺狼恨猎人	死对头
豺狼披羊皮	充好人
豺狼请客	没安好心；居心不良
豺狼请兔子的客	没好事
豺狼遭火烧	焦头烂额
搀水的老白干	没冲劲儿
馋狗等骨头	急不可待
馋鬼抢生肉	贪多嚼不烂
馋猫挨着锅台转	别有用心
馋猫吃耗子	生吞活剥
馋猫见了腥味	沾上了
馋嘴巴走进药材店	自讨苦吃
铲不掉的锅巴	死硬
铲子切菜	不地道（抵刀）
长白山的大雪	满天飞
长白山的野人参	得之不易
长成的胡子，生就的相貌	更改不掉
长成的眉毛生就的痣	变不了；没法变
长城上的砖	未知经过多少风雨
长城上跑步	大有奔头
长翅膀的小鸟	欢跃欲飞；迟早要飞
长虫（蛇）吃棒槌	直脖啦
长虫吃高粱	顺杆（秆）爬
长虫吃蛤蟆	慢慢来
长虫吃鸡蛋	吞吞吐吐;疙疙瘩瘩
长虫戴草帽	细高挑（身材细长的人）
长虫斗仙鹤	绕脖子；
长虫过街	井（蟒）行
长虫过篱笆	见缝就钻；钻空子；
长虫爬进酒瓶里	进退两难
长虫爬进枪筒里	难回头
长疔疮的癞皮狗	走到哪臭到哪；走一路臭一路
长工吃犒劳	难得的好处
长工的岁月	难熬
长工害痨病	贫病交迫
长工家里殓死人	家破人亡
长江里漂木头	付（浮）之东流
长江流水	滔滔不绝
长颈鹿脖子仙鹤腿	各有所长
长颈鹿进马群	高出了头
长颈鹿进羊群	高出一大截；非常突出
长就的眉毛生就的相	变不了
长就的牛角	值（直）不得；直不了
长了三只手	爱偷
长了兔子腿	跑得快
长毛驴备银鞍	有点儿不配
长毛驴儿推磨	兜圈子
长毛驴驮不起金鞍子	不识抬举
长袍马褂瓜皮帽	老一套
长跑比赛	争分夺秒
长衫改夹袄	取长补短
长衫子改夹袄	取长补短
长丝瓜当扁担	不晓得软硬
长添灯草满添油	早作准备
长秃疮害脚气	两头不落一头
长尾巴蝎子	毒极了
长线放风筝	慢慢来
长一只耳朵的人	偏听偏信
长竹竿戳水道眼	一通到底
长竹竿进城	拐不过弯儿（比喻心里不痛快，想不开。）
长竹竿进巷道	直来直去
常胜将军	百战百胜
常胜将军回朝	凯旋归来
常走泥泞路	不怕栽跟头
嫦娥脸上长痣	美中不足
嫦娥跳舞	两袖清风
厂里开除的二愣子	要不得
唱歌离了谱	不入调
唱京戏拉单弦	变了调
唱驴皮影（皮影戏。因剧中人物剪影用驴皮做成而得名）	耍人哩；捉弄人
唱戏打边鼓	旁敲侧击
唱戏的拜天地	一会儿的夫妻
唱戏的穿龙袍	成不了皇帝
唱戏的吹胡子	假生气
唱戏的打板	一五一十
唱戏的点兵	名不副实
唱戏的喝彩	自吹自擂（比喻自我吹嘘。）
唱戏的胡子	活的；假的（比喻不真实。）
唱戏的教弟	幕后指点
唱戏的教徒弟	幕后指谱（比喻暗中出主意。）
唱戏的没主角	胡闹台
唱戏的抹两鬓	装样子
唱戏的念道白	自盲自语
唱戏的卸了装	原形毕露
唱戏的转圈圈	走过场（比喻敷衍场面，做给人看，表示有这么回事。）
唱戏没主角	胡闹台
抄着手过日子	等着饿死
钞票洗额头	见钱眼开
超载的火车	任重道远
朝天铳（chong一种旧式火器）走火	放空炮
朝天铳走火	放空泡
朝天放枪	空响（想）（比喻白费心思达不到目的）
朝天辣椒	又尖又辣；够呛
朝廷吃煎饼	均（君）摊
朝廷的闺女	金枝玉叶
朝廷的太监	后继无人
朝廷老爷拾大粪	有福不会享
朝廷说话	金口玉言
朝中无人莫做官	没靠山
朝种树，夜乘凉	不可能的事；没人见过
炒菜不放盐巴	乏味
炒菜的铲子	尝尽了酸甜苦辣
炒菜的勺子	尝尽了酸甜苦辣（比喻幸福、痛苦等种种滋味都尝到过）
炒菜放错了估料	不对味
炒胡豆（蚕豆）下酒	干干脆脆
炒韭菜放葱	白搭
炒韭菜搁葱	白搭
炒了的虾米	红人（仁）
炒了的虾仁	红透了（①比喻已经熟透了。②比喻受宠信的人。）
炒了一盘麻雀脑袋	多嘴多舌
炒了一盆麻雀脑袋	多嘴多舌（比喻不该说而说了）
炒面捏白头翁	老熟人
炒面捏娃娃	熟人
炒面捏窝窝（窝窝头。玉米面、高梁面等做的食物，略呈圆锥形，底下有窝儿）	捏不拢；难捏合
炒熟的黄豆	难发芽
炒熟的虾仁	红透了
炒熟了的豆子	发不了芽
炒虾等不得红	性太急
炒咸菜不放盐	有言（盐）在先
炒咸菜放盐巴	太闲（咸）了・
车道沟里的泥鳅	翻不了大浪
车干塘水捉鱼	只图一回；不顾后患
车沟里翻船	不可能的事；没人见过；没有的事；不可能
车后拴小牛	歹毒（带犊）
车辆对开	各走一边
车轮子没轴	转不开
车屁股安发动机	后劲大
车有车道，船有航道	各有各的路
车载千斤有地担	与己无关
车站上的蚊子	专跟过路人作对
扯掉画皮的恶鬼	凶相毕露
扯掉画皮的恶魂	凶相毕霹
扯裤子补补丁	堵不完的窟窿
扯乱了的线轴	找不到头
扯旗杆放炮	生怕别人不知道
扯起眉毛哄眼睛	自己哄自己；自欺欺人
扯着耳朵洗鼻涕	不对路数
扯着胡子打滴溜	嘴巴上的劲儿
扯着老虎尾巴喊救命	找死
沉香木当柴烧	用材不当
陈年谷子烂芝麻	不新鲜
陈年老账	没法了结
陈胜扯旗	揭竿而起
陈世美不认秦香莲	喜新厌旧
陈世美打轿夫	不识抬举
陈世美杀妻	忘恩负义
陈世美做附马	喜新厌旧
陈抟的徒弟	好睡
称秸秆儿扎的鸡	插翅也难飞
趁圪台（ge toi小土丘）下马	自找台阶
趁热打铁	正在火候上
趁水和泥，趁火打铁	一举两得
趁水踏沉船	助人为恶
趁着大风扫街	假积极
趁着热汤下笊篱（zhao li捞取东西的用具。用金属丝、篾条或柳条等编成。有长柄）	赶紧
撑船不要篙	放任自流
撑船不用篙	任其自流
撑船的老板	看风使舵
撑阳伞戴凉帽	多此一举
